MergeID,Timestamp,Email.Address,Name.of.Reviewer,Name.of.Journal,When.was.the.earliest.the.journal.expected.data.to.be.provided..x,How.strict.is.this.policy...Data.policy.,Provide.the.text.that.mentions.the.above.statement..if.possible..,How.clear.do.you.think.this.statement.is.,Where.was.the.data.policy.located...provide.a.url.to.the.specific.page..if.any.,Any.other.comments.,When.was.the.earliest.the.journal.expected.code.to.be.provided..x,How.strict.is.this.policy...Code.Policy.,Provide.the.text.that.mentions.the.above.statement..if.possible...1,How.clear.do.you.think.this.statement.is..1,Where.was.the.data.policy.located...provide.a.url.to.the.specific.page..if.any..1,Any.other.comments..1
anon_ID_522,10/18/2023 2:39:39,[redacted],[redacted],journal of zoological systematics and evolutionary research,Unclear,Optional for Authors,This statement should describe how readers can access the data supporting the conclusions of the study and clearly outline the reasons why unavailable data cannot be released.,2,https://www.hindawi.com/journals/jzs/guidelines/,,Not Expected At All,Not Mentioned,,NA,,
anon_ID_523,10/18/2023 2:44:44,[redacted],[redacted],landscape and ecological engineering,Unclear,Encouraged,"The journal encourages authors, where possible and applicable, to deposit data that support the findings of their research in a public repository. ",4,https://www.springer.com/journal/11355/submission-guidelines,,Not Expected At All,Optional for Authors,"The above should be summarized in a statement and placed in a ‘Declarations’ section before the reference list under a heading of ‘Funding’ and/or ‘Competing interests’. Other declarations include Ethics approval, Consent, Data, Material and/or Code availability and Authors’ contribution statements.",2,https://www.springer.com/journal/11355/submission-guidelines,
anon_ID_524,10/18/2023 2:49:52,[redacted],[redacted],landscape and urban planning,Unclear,Optional for Authors,"This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List

This journal requires and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles.

Data statement
To foster transparency, we require you to state the availability of your data in your submission if your data is unavailable to access or unsuitable to post. This may also be a requirement of your funding body or institution. You will have the opportunity to provide a data statement during the submission process. ",1,https://www.sciencedirect.com/journal/landscape-and-urban-planning/publish/guide-for-authors,"confusing - but says 'require to state the availability of your data', so went with optional",Not Expected At All,Optional for Authors,"This journal requires and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings, which may also include software, code, models, algorithms, protocols, methods and other useful materials related to the project.",2,https://www.sciencedirect.com/journal/landscape-and-urban-planning/publish/guide-for-authors,
anon_ID_525,10/18/2023 2:52:56,[redacted],[redacted],landscape ecology,Not Expected At All,Optional for Authors,"This journal encourages authors to provide an optional statement of data availability in their article. Data Availability Statements should include information on where data supporting the results reported in the article can be found, including, where applicable, hyperlinks to publicly archived datasets analysed or generated during the study. Data availability statements can also indicate whether data are available on request from the authors and where no data are available, if appropriate.",3,https://www.springer.com/journal/10980/submission-guidelines,,Not Expected At All,Optional for Authors,"The above should be summarized in a statement and placed in a ‘Declarations’ section before the reference list under a heading of ‘Funding’ and/or ‘Competing interests’. Other declarations include Ethics approval, Consent, Data, Material and/or Code availability and Authors’ contribution statements.",2,https://www.springer.com/journal/10980/submission-guidelines,
anon_ID_526,10/18/2023 2:57:49,[redacted],[redacted],limnology and oceanography,Unclear,Encouraged,"Limnology & Oceanography expects public data sharing. L&O expects that the data and metadata supporting the results in a paper are archived in an appropriate public data repository. Whenever possible the code and other artefacts used to generate the analyses presented in the paper should also be publicly archived, either with the data, or in a repository specific for computer code. Exceptions may be granted at the discretion of the editor for sensitive information such as the location of endangered species. Authors must provide a data accessibility statement, including a link to the repository they have used, to accompany their paper.",3,https://aslopubs.onlinelibrary.wiley.com/hub/journal/19395590/about/author-guidelines,Limnology & Oceanography expects public data sharing' - not sure if that is a mandate or not!,Unclear,Encouraged,"Whenever possible the code and other artefacts used to generate the analyses presented in the paper should also be publicly archived, either with the data, or in a repository specific for computer code. ",2,https://aslopubs.onlinelibrary.wiley.com/hub/journal/19395590/about/author-guidelines,
anon_ID_527,10/18/2023 3:00:12,[redacted],[redacted],mammal review,Unclear,Encouraged,"If appropriate, we expect authors to deposit the data underlying their manuscript in a suitable archive or public repository (e.g. GenBank, Dryad, Figshare), or to include the data for publication by Mammal Review as an online-only appendix. Appendices are cited in the text and are published with free access. Authors using archives or repositories may wish to include a link to their data in the Methods once the paper has been accepted. ",2,https://onlinelibrary.wiley.com/page/journal/13652907/homepage/forauthors.html,,Not Expected At All,Not Mentioned,,NA,,
anon_ID_528,10/18/2023 3:05:04,[redacted],[redacted],marine biology,Unclear,Encouraged,Sharing of all relevant research data is strongly encouraged and authors must add a Data Availability Statement to original research articles.,4,https://www.springer.com/journal/227/submission-guidelines,,Not Expected At All,Optional for Authors,"The above should be summarized in a statement and placed in a ‘Declarations’ section before the reference list under a heading of ‘Funding’ and/or ‘Competing interests’. Other declarations include Ethics approval, Consent, Data, Material and/or Code availability and Authors’ contribution statements.",2,https://www.springer.com/journal/227/submission-guidelines,
anon_ID_529,10/18/2023 3:16:05,[redacted],[redacted],marine biology research,During Peer Review,Encouraged,"Authors are encouraged to share or make open the data supporting the results or analyses presented in their paper where this does not violate the protection of human subjects or other valid privacy or security concerns.

At the point of submission, you will be asked if there is a data set associated with the paper. If you reply yes, you will be asked to provide the DOI, pre-registered DOI, hyperlink, or other persistent identifier associated with the data set(s). If you have selected to provide a pre-registered DOI, please be prepared to share the reviewer URL associated with your data deposit, upon request by reviewers.",4,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=smar20#Datasharingpolicy,,Not Expected At All,Not Mentioned,,NA,,
anon_ID_530,10/18/2023 3:18:13,[redacted],[redacted],marine ecology progress series,Not Expected At All,Not Mentioned,,NA,,,Not Expected At All,Not Mentioned,,NA,,
anon_ID_531,11/01/2023 20:45,[redacted],[redacted],acta amazonica,Not Expected At All,Optional for Authors,"Data availability
All original research articles have to include a ""Data availability"" section informing whether the dataset is available to the public and where it is deposited. Include this section in the title page.

According to Scielo´s gide on data availability statements (https://wp.scielo.org/wp-content/uploads/dados.pdf), the use of one of the following alternatives is mandatory:

Data not available – The data that support the findings of this study are not publicly available.

Data available – The data that support the findings of this study (a) were published in this article; (b) were published in this article and in its attached ""Supplementary Material"" section; (c) are available in [name of repository] and can be accessed at [URL or DOI]; or (d) are available in [name of repository] with the identifying codes [list of identifiers]. In the case of anonimized date, use (e) the anonimized data that support the findings of this study are available in [name of repository] and can be accessed at [URL or DOI].

Data available upon request – The data that support the findings of this study are available, upon reasonable request, (a) from the corresponding author [name of the corresponding author]; or (b) from [name of the organization]. The dataset is not publicly available because [detail the motive, e.g. the data contain information that compromise the privacy of participants in the research].

If the manuscript is accepted for publication, this information will appear in a ""Data availability statement"" at the end of the article.",4,https://acta.inpa.gov.br/guia_ingles.php,,Not Expected At All,Not Mentioned,,NA,https://acta.inpa.gov.br/guia_ingles.php,
anon_ID_532,11/01/2023 20:47,[redacted],[redacted],acta ethologica,After Acceptance (Post-Publication),Encouraged,"We strongly encourage that all research data are made available to readers without undue restrictions. For some types of data, submission to a community-endorsed, public repository is mandatory. See our guidance on mandatory data deposition for more information. 

We recognise that some data, such as data about identifiable human research participants, cannot be shared openly. Where data cannot be shared, an adequate reason should be provided in the Data Availability Statement.

Reviewers and editors may request access to datasets that are not publicly available.",3,https://www.springernature.com/gp/authors/research-data-policy/data-policy-faqs,,Unclear,Encouraged,All authors are requested to make sure that all data and materials as well as software application or custom code support their published claims and comply with field standards. Please note that journals may have individual policies on (sharing) research data in concordance with disciplinary norms and expectations.,2,https://www.springer.com/journal/10211/submission-guidelines#Instructions%20for%20Authors_Research%20Data%20Policy%20and%20Data%20Availability%20Statements,
anon_ID_533,11/01/2023 20:55,[redacted],[redacted],acta oecologica-international journal of ecology,After Acceptance (Post-Publication),Optional for Authors,"Data statement
To foster transparency, we require you to state the availability of your data in your submission if your data is unavailable to access or unsuitable to post. This may also be a requirement of your funding body or institution. You will have the opportunity to provide a data statement during the submission process. The statement will appear with your published article on ScienceDirect. For more information, visit the Data Statement page.
...
This journal requires and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles",3,https://www.sciencedirect.com/journal/acta-oecologica/publish/guide-for-authors,,Unclear,Optional for Authors,"This journal requires and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings, which may also include software, code, models, algorithms, protocols, methods and other useful materials related to the project.",2,https://www.sciencedirect.com/journal/acta-oecologica/publish/guide-for-authors,
anon_ID_534,11/01/2023 20:56,[redacted],[redacted],advances in ecological research,Unclear,Not Mentioned,,NA,,Couldn't locate the journal/book series guide to authors after 10 minutes!,Unclear,Not Mentioned,,NA,,Couldn't locate the journal/book series guide to authors after 10 minutes!
anon_ID_535,11/01/2023 20:59,[redacted],[redacted],african journal of ecology,Unclear,Encouraged,"Data Availability Statement.
Authors are required to provide a data availability statement to describe the availability or the absence of shared data. When data have been shared, authors are required to include in their data availability statement a link to the repository they have used, and to cite the data they have shared. 
...
African Journal of Ecology expects that data supporting the results in the paper will be archived in an appropriate public repository. Authors are required to provide a data availability statement to describe the availability or the absence of shared data. When data have been shared, authors are required to include in their data availability statement a link to the repository they have used, and to cite the data they have shared.",4,https://onlinelibrary.wiley.com/page/journal/13652028/homepage/forauthors.html,,Unclear,Encouraged,"African Journal of Ecology expects that data supporting the results in the paper will be archived in an appropriate public repository. Authors are required to provide a data availability statement to describe the availability or the absence of shared data. When data have been shared, authors are required to include in their data availability statement a link to the repository they have used, and to cite the data they have shared. Whenever possible the scripts and other artefacts used to generate the analyses presented in the paper should also be publicly archived. If sharing data compromises ethical standards or legal requirements then authors are not expected to share it. ",4,https://onlinelibrary.wiley.com/page/journal/13652028/homepage/forauthors.html,
anon_ID_536,11/01/2023 21:13,[redacted],[redacted],african journal of range & forage science,During Peer Review,Encouraged,"This journal applies the Taylor & Francis basic data sharing policy. Authors are encouraged to share or make open the data supporting the results or analyses presented in their paper where this does not violate the protection of human subjects or other valid privacy or security concerns. Authors are encouraged to deposit the dataset(s) in a recognized data repository that can mint a persistent digital identifier, preferably a digital object identifier (DOI) and recognizes a long-term preservation plan. If you are uncertain about where to deposit your data, please see this information regarding repositories. Authors are further encouraged to cite any data sets referenced in the article and provide a Data Availability Statement.

At the point of submission, you will be asked if there is a data set associated with the paper. If you reply yes, you will be asked to provide the DOI, pre-registered DOI, hyperlink, or other persistent identifier associated with the data set(s). If you have selected to provide a pre-registered DOI, please be prepared to share the reviewer URL associated with your data deposit, upon request by reviewers.

Where one or multiple data sets are associated with a manuscript, these are not formally peer reviewed as a part of the journal submission process. It is the author's responsibility to ensure the soundness of data. Any errors in the data rest solely with the producers of the data set(s).

Data availability statement. If there is a data set associated with the paper, please provide information about where the data supporting the results or analyses presented in the paper can be found. Where applicable, this should include the hyperlink, DOI or other persistent identifier associated with the data set(s). Templates are also available to support authors.
Data deposition. If you choose to share or make the data underlying the study open, please deposit your data in a recognized data repository prior to or at the time of submission. You will be asked to provide the DOI, pre-reserved DOI, or other persistent identifier for the data set.",5,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=tarf20,,Not Expected At All,Not Mentioned,,NA,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=tarf20,
anon_ID_537,11/01/2023 21:20,[redacted],[redacted],african journal of wildlife research,Unclear,Not Mentioned,,NA,https://journals.co.za/journal/wild/submit,"Link not showing how to submit paper in Google Chrome or Firefox, so cannot assess?",Unclear,Not Mentioned,,NA,https://journals.co.za/journal/wild/submit,"Link not showing how to submit paper in Google Chrome or Firefox, so cannot assess?"
anon_ID_538,11/01/2023 21:23,[redacted],[redacted],agriculture ecosystems & environment,After Acceptance (Post-Publication),Encouraged,"This journal requires and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings, which may also include software, code, models, algorithms, protocols, methods and other useful materials related to the project.
Below are a number of ways in which you can associate data with your article or make a statement about the availability of your data when submitting your manuscript. When sharing data in one of these ways, you are expected to cite the data in your manuscript and reference list. Please refer to the ""References"" section for more information about data citation. For more information on depositing, sharing and using research data and other relevant research materials, visit the research data page.
...
To foster transparency, we require you to state the availability of your data in your submission if your data is unavailable to access or unsuitable to post. This may also be a requirement of your funding body or institution. You will have the opportunity to provide a data statement during the submission process. The statement will appear with your published article on ScienceDirect. For more information, visit the Data Statement page..",3,https://www.sciencedirect.com/journal/agriculture-ecosystems-and-environment/publish/guide-for-authors,,After Acceptance (Post-Publication),Encouraged,"This journal requires and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings, which may also include software, code, models, algorithms, protocols, methods and other useful materials related to the project.",2,https://www.sciencedirect.com/journal/agriculture-ecosystems-and-environment/publish/guide-for-authors,
anon_ID_539,11/01/2023 21:38,[redacted],[redacted],alpine botany,After Acceptance (Post-Publication),Encouraged,The journal strongly encourages that all datasets on which the conclusions of the paper rely should be available to readers. We encourage authors to ensure that their datasets are either deposited in publicly available repositories (where available and appropriate) or presented in the main manuscript or additional supporting files whenever possible. Please see Springer Nature’s information on recommended repositories.,4,https://www.springer.com/journal/35/submission-guidelines#Instructions%20for%20Authors_Research%20Data%20Policy%20and%20Data%20Availability%20Statements,,Unclear,Encouraged,All authors are requested to make sure that all data and materials as well as software application or custom code support their published claims and comply with field standards. Please note that journals may have individual policies on (sharing) research data in concordance with disciplinary norms and expectations.,2,https://www.springer.com/journal/35/submission-guidelines#Instructions%20for%20Authors_Research%20Data%20Policy%20and%20Data%20Availability%20Statements,
anon_ID_540,11/01/2023 21:46,[redacted],[redacted],ambient science,Not Expected At All,Not Mentioned,,1,https://www.caves.res.in/authors-guidelines.php,,Not Expected At All,Not Mentioned,,NA,https://www.caves.res.in/authors-guidelines.php,
anon_ID_541,11/01/2023 22:00,[redacted],[redacted],american journal of physical anthropology,After Acceptance (Post-Publication),Encouraged,"Please review Wiley’s policy here. This journal expects data sharing. 

The American Journal of Biological Anthropology recognizes the many benefits of archiving research data. The American Journal of Biological Anthropology expects you to archive all the data from which your published results are derived in a public repository. The repository that you choose should offer you guaranteed preservation (see the registry of research data repositories at https://www.re3data.org/) and should help you make it findable, accessible, interoperable, and re-useable, according to FAIR Data Principles (https://www.force11.org/group/fairgroup/fairprinciples). 

All accepted manuscripts are required to publish a data availability statement to confirm the presence or absence of shared data. If you have shared data, this statement will describe how the data can be accessed, and include a persistent identifier (e.g., a DOI for the data, or an accession number) from the repository where you shared the data. Authors will be required to confirm adherence to the policy. If you cannot share the data described in your manuscript, for example for legal or ethical reasons, or do not intend to share the data then you must provide the appropriate data availability statement. The American Journal of Biological Anthropology notes that FAIR data sharing allows for access to shared data under restrictions (e.g., to protect confidential or proprietary information) but notes that the FAIR principles encourage you to share data in ways that are as open as possible (but that can be as closed as necessary). ",4,https://onlinelibrary.wiley.com/page/journal/26927691/homepage/forauthors.html,Incorrect name or name change? Now known as the American Journal of Biological Anthropology,Unclear,Encouraged,"Note: if data, scripts, or other artefacts used to generate the analyses presented in the paper are available via a publicly available data repository, authors should include a reference to the location of the material within their paper.",4,https://onlinelibrary.wiley.com/page/journal/26927691/homepage/forauthors.html,Incorrect name or name change? Now known as the American Journal of Biological Anthropology
anon_ID_542,11/01/2023 22:06,[redacted],[redacted],american midland naturalist,Not Expected At All,Not Mentioned,,NA,https://www3.nd.edu/~ammidnat/authors.html,Author's checklist has restricted Google Drive access - might have data statement there!,Not Expected At All,Not Mentioned,,NA,https://www3.nd.edu/~ammidnat/authors.html,Author's checklist has restricted Google Drive access - might have code statement there!
anon_ID_543,11/01/2023 22:15,[redacted],[redacted],american naturalist,During Peer Review,Mandated,"As a condition of publication, all data needed to recreate the results of a paper must be publicly accessible in usable format. We require authors to make their data and code (if used) available to reviewers and editors upon first submission. The data and code as well as a comprehensive README file (see details below) must be uploaded to a public data repository (such as Dryad, Zenodo, OSF, Figshare, or Dataverse, etc.) and a link provided for reviewers and editors in your manuscript. (At the submission stage, the deposit does not need to be public, but please include a link that reviewers can access.)",5,https://www.journals.uchicago.edu/journals/an/instruct,,During Peer Review,Mandated,"For submission, we require submission of any code (e.g., for simulations or data analysis) or Mathematica notebook that was used to generate results reported in your manuscript. This ensures that reviewers and readers can evaluate to in detail all analytical steps for reproducibility.",5,https://www.journals.uchicago.edu/journals/an/instruct,
anon_ID_544,11/01/2023 22:20,[redacted],[redacted],animal behaviour,During Peer Review,Encouraged,"This journal requires and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings. To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, and other useful materials related to the project.
Below are a number of ways in which you can associate data with your article or make a statement about the availability of your data when submitting your manuscript. For double-blind review, omit identifying information such as authors' names and affiliations; for example, by using a private sharing link in a repository such as Figshare. When sharing data in one of these ways, you are expected to cite the data in your manuscript and reference list once the paper is accepted. Please refer to the ""References"" section for more information about data citation. Private sharing links may need to be updated to make the data public on final acceptance. For more information on depositing, sharing and using research data and other relevant research materials, visit the research data page.
...
To foster transparency, we require you to state the availability of your data in your submission. This may also be a requirement of your funding body or institution. You will need to provide a Data Availability statement during the submission process. The statement will appear with your published article on ScienceDirect. For more information, visit the Data Statement page.
",3,https://www.sciencedirect.com/journal/animal-behaviour/publish/guide-for-authors,,Unclear,Encouraged,"This journal requires and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings. To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, and other useful materials related to the project.
",3,https://www.sciencedirect.com/journal/animal-behaviour/publish/guide-for-authors,
anon_ID_545,11/01/2023 22:30,[redacted],[redacted],animal biotelemetry,Unclear,Encouraged,"Submission of a manuscript to a BMC journal implies that materials described in the manuscript, including all relevant raw data, will be freely available to any scientist wishing to use them for non-commercial purposes, without breaching participant confidentiality.

For all journals, BMC strongly encourages that all datasets on which the conclusions of the paper rely should be available to readers, and where there is a community established norm for data sharing, BMC mandates data deposition (for data types with required deposition, see below). 

We encourage authors to ensure that their datasets are either deposited in publicly available repositories (where available and appropriate) or presented in the main manuscript or additional supporting files, in machine-readable format (such as spreadsheets rather than PDFs) whenever possible. Please see the Data repository guidance page for further information. For several journals, deposition of the data on which the conclusions of the manuscript rely is required. Please check the individual journal’s Submission Guidelines for more information.

Authors who need help understanding our data sharing policies, finding a suitable data repository, or organising and sharing research data can access our Author Support portal for additional guidance.

Mandated data deposition based on community-established norms
For certain data types (for example genomic data, nucleic acid or protein sequences), BMC mandates data deposition in a public access repository upon submission as there is a community-accepted standard of data deposition and data sharing. 

Please consult this list of mandated data types, ensuring any relevant data are deposited in an appropriate repository and linked from your manuscript.

Such data must be available to editors and reviewers to evaluate during peer review and has to be released without restriction to the public upon publication.",4,https://www.biomedcentral.com/getpublished/editorial-policies#availability+of+data+and+materials,,During Peer Review,Encouraged,"Any previously unreported software application or custom code described in the manuscript should be available for testing by editors and reviewers in a way that preserves their anonymity. The manuscript should include a description in the Availability of Data and Materials section of how the editors and reviewers can access the unreported software application or custom code. This section should include a link to the most recent version of your software or code (e.g. Zenodo or Code Ocean) as well as a link to the archived version referenced in the manuscript. The software or code should be archived in an appropriate repository with a DOI or other unique identifier. For software in GitHub, we recommend using Zenodo. If published, the software application/tool should be readily available to any scientist wishing to use it for non-commercial purposes, without restrictions (such as the need for a material transfer agreement). If the implementation is not made freely available, then the manuscript should focus clearly on the development of the underlying method and not discuss the tool in any detail.",5,https://www.biomedcentral.com/getpublished/editorial-policies#availability+of+data+and+materials,
anon_ID_546,11/01/2023 22:38,[redacted],[redacted],biological invasions,After Acceptance (Post-Publication),Encouraged,"This journal follows Springer Nature research data policy. Sharing of all relevant research data is strongly encouraged and authors must add a Data Availability Statement to original research articles.

Research data includes a wide range of types, including spreadsheets, images, textual extracts, archival documents, video or audio, interview notes or any specialist formats generated during research.

Data availability statements
All original research must include a data availability statement. This statement should explain how to access data supporting the results and analysis in the article, including links/citations to publicly archived datasets analysed or generated during the study. Please see our full policy here.

If it is not possible to share research data publicly, for instance when individual privacy could be compromised, this statement should describe how data can be accessed and any conditions for reuse. Participant consent should be obtained and documented prior to data collection. See our guidance on sensitive data for more information.

When creating a data availability statement, authors are encouraged to consider the minimal dataset that would be necessary to interpret, replicate and build upon the findings reported in the article.",4,https://www.springer.com/journal/10530/submission-guidelines,,Unclear,Encouraged,"Data transparency
All authors are requested to make sure that all data and materials as well as software application or custom code support their published claims and comply with field standards. Please note that journals may have individual policies on (sharing) research data in concordance with disciplinary norms and expectations.",3,https://www.springer.com/journal/10530/submission-guidelines,
anon_ID_547,11/01/2023 22:44,[redacted],[redacted],biological journal of the linnean society,After Acceptance (Post-Publication),Encouraged,"Availability of Data and Materials
Where ethically feasible, The Biological Journal of the Linnean Society strongly encourages authors to make all data and software code on which the conclusions of the paper rely available to readers. Authors are required to include a Data Availability Statement in their article.

We strongly suggest that data be presented in the main manuscript or additional supporting files or deposited in a public repository whenever possible. Information on general repositories for all data types, and a list of recommended repositories by subject area, is available here. Sequence data must be made freely accessible from a repository such as GenBank and we strongly encourage that all types of data are uploaded to relevant publicly accessible repositories (Dryad, Figshare, TreeBASE, etc.). Further information about using Dryad is provided at acceptance. Please note that Dryad now charge Biol. J. Linn. Soc authors a fee for curating their data. ",4,https://academic.oup.com/biolinnean/pages/General_Instructions,,After Acceptance (Post-Publication),Encouraged,"Where ethically feasible, Biological Journal of the Linnean Society strongly encourages authors to make all data and software code on which the conclusions of the paper rely available to readers. Authors are required to include a Data Availability Statement in their article.

We strongly suggest that data be presented in the main manuscript or additional supporting files or deposited in a public repository whenever possible. Information on general repositories for all data types, and a list of recommended repositories by subject area, is available here. Sequence data must be made freely accessible from a repository such as GenBank and we strongly encourage that all types of data are uploaded to relevant publicly accessible repositories (Dryad, Figshare, TreeBASE, etc.). Further information about using Dryad is provided at acceptance. Please note that Dryad now charge Biol. J. Linn. Soc authors a fee for curating their data.",4,https://academic.oup.com/biolinnean/pages/General_Instructions,
anon_ID_548,11/01/2023 22:46,[redacted],[redacted],biological reviews,Not Expected At All,Not Mentioned,,NA,https://onlinelibrary.wiley.com/page/journal/1469185x/homepage/forauthors.html?utm_source=google&utm_medium=paidsearch&utm_campaign=R3MR425&utm_content=LifeSciences&gclid=EAIaIQobChMI7PG20NyiggMVZw17Bx3_AAjgEAAYASABEgJDMfD_BwE,,Not Expected At All,Not Mentioned,,NA,https://onlinelibrary.wiley.com/page/journal/1469185x/homepage/forauthors.html?utm_source=google&utm_medium=paidsearch&utm_campaign=R3MR425&utm_content=LifeSciences&gclid=EAIaIQobChMI7PG20NyiggMVZw17Bx3_AAjgEAAYASABEgJDMfD_BwE,
anon_ID_549,11/01/2023 22:48,[redacted],[redacted],biology letters,During Peer Review,Mandated,"We require supporting data and information, including source code and other digital research materials, to be made available at the time of submission. This is in line with our policies to promote greater openness in scientific research and to allow, as well as encourage, other researchers to perform full replications of published studies. For more information please refer to our data sharing policies. In order to make it as easy as possible to comply with this policy, the Biology Letters submission system is integrated with the Dryad data repository. We also cover the cost of submitting data to Dryad. Data submitted as electronic supplementary material will, upon acceptance of a manuscript, be deposited at the Royal Society's figshare portal free of charge.

Datasets and code that have been deposited in an external repository should be appropriately cited in both the reference list and data accessibility section. Unless there are strong extenuating circumstances for doing so, we will not accept statements such as ""Data and materials are available upon request from the authors"" in our data accessibility statements. The data, code or other digital research materials must be publicly accessible and clearly indicated as such, and your manuscript will be returned to you in the event the Editor does not consider your data accessibility statement to meet our submission requirements, and you will be asked to provide further details. Exceptions to this policy are at the Editor’s discretion only.

",5,https://royalsocietypublishing.org/rsbl/for-authors#question4,,During Peer Review,Mandated,"""We require supporting data and information, including source code and other digital research materials, to be made available at the time of submission. This is in line with our policies to promote greater openness in scientific research and to allow, as well as encourage, other researchers to perform full replications of published studies. For more information please refer to our data sharing policies. In order to make it as easy as possible to comply with this policy, the Biology Letters submission system is integrated with the Dryad data repository. We also cover the cost of submitting data to Dryad. Data submitted as electronic supplementary material will, upon acceptance of a manuscript, be deposited at the Royal Society's figshare portal free of charge.

Datasets and code that have been deposited in an external repository should be appropriately cited in both the reference list and data accessibility section. Unless there are strong extenuating circumstances for doing so, we will not accept statements such as """"Data and materials are available upon request from the authors"""" in our data accessibility statements. The data, code or other digital research materials must be publicly accessible and clearly indicated as such, and your manuscript will be returned to you in the event the Editor does not consider your data accessibility statement to meet our submission requirements, and you will be asked to provide further details. Exceptions to this policy are at the Editor‚Äôs discretion only.

A description of your dataset should be provided along with your raw data. Supplying a description of your data (often described as 'metadata') allows others to assess and replicate your study, and will be helpful if you decide to reproduce elements of your study in future. You should state in the data accessibility section of your submission where a description of the data can be found (for example, in your supplementary files or in an external data repository). For ease of understanding, your dataset and description should be in the same location.

Check with your funder and/or institute on what they require you to include in your dataset and description. In general, your description should include (but may not be limited to);

- How you collected your data

- Details of the file formats used to record the data

- Descriptions of any columns and tables in your dataset (including abbreviations used)

- Details of any scripts or codes used

- Details of software used

- A description of how you processed your data to obtain your results (including the statistical tests performed)

- Licences/restrictions placed on access to the dataset

This article may be useful for preparing your data:
Jenkins, G.B. et al. (2023). Reproducibility in ecology and evolution: Minimum standards for data and code. Ecology and Evolution, 13, e9961. https://doi.org/10.1002/ece3.9961""",5,https://royalsocietypublishing.org/rsbl/for-authors,
anon_ID_550,11/01/2023 22:49,[redacted],[redacted],biology open,After Acceptance (Post-Publication),Encouraged,"All publicly available datasets supporting your work should be included in the Data availability section. Details should include repository name, identifier such as accession number or doi and, where possible, include a hyperlink to the URL of the dataset. Datasets should be made publicly available at the time of publication. For more information on our data deposition requirements, see please see our Journal Policies.
",5,https://journals.biologists.com/bio/pages/manuscript-prep,,Not Expected At All,Not Mentioned,,NA,https://journals.biologists.com/bio/pages/manuscript-prep,
anon_ID_551,11/01/2023 22:50,[redacted],[redacted],biosystems diversity,Not Expected At All,Not Mentioned,,NA,https://ecology.dp.ua/index.php/ECO/about/submissions,,Not Expected At All,Not Mentioned,,NA,https://ecology.dp.ua/index.php/ECO/about/submissions,
anon_ID_552,11/01/2023 22:55,[redacted],[redacted],biotropica,After Acceptance (Post-Publication),Mandated,"Biotropica requires all data used in the research to be archived in an appropriate public repository when possible. Authors may elect to embargo access to their archived data for up to 3 years after article publication. Exceptions to the required archiving of data may be granted at the discretion of the Editor‐in‐Chief for studies that include sensitive information (e.g., the location of endangered species). Authors must describe why their data, or part of their dataset, is not available in their data availability statement.",4,https://onlinelibrary.wiley.com/page/journal/17447429/homepage/forauthors.html#data_archiving,"Previous submission was for biosystems diversity (not biology open, if this was written!)",After Acceptance (Post-Publication),Encouraged,"Authors are also encouraged to publicly archive the scripts and other artefacts used for the analyses presented in the paper. All data must be cited following the guidelines in section 8, “References”.",4,https://onlinelibrary.wiley.com/page/journal/17447429/homepage/forauthors.html#data_archiving,
anon_ID_553,11/01/2023 22:58,[redacted],[redacted],bird conservation international,During Peer Review,Optional for Authors,"Material that is not essential to understanding or supporting a manuscript, but which may nonetheless be relevant or interesting to readers, may be submitted as supplementary material. Supplementary material will be published online alongside your article, but will not be published in the pages of the journal. Types of supplementary material may include, but are not limited to, appendices, additional tables or figures, datasets, videos, and sound files.",4,https://www.cambridge.org/core/journals/bird-conservation-international/information/author-instructions/preparing-your-materials,,Not Expected At All,Not Mentioned,,NA,https://www.cambridge.org/core/journals/bird-conservation-international/information/author-instructions/preparing-your-materials,
