Journals,Publisher,Publisher-Level Policy,2024_Update?,Reviewer_A,Reviewer_B,Reviewer_notes,Data_timing_DE,Data_timing_agree,Data_timing_FIN,Data_strict_DE,Data_strict_agree,Data_strict_FIN,Code_timing_DE,Code_timing_agree,Code_timing_FIN,Code_strict_DE,Code_strict_agree,Code_strict_FIN
journal of arid environments,ScienceDirect by Elsevier,Yes,"Option C: Research data deposit, citation and linking

You are required to:

Deposit your research data in a relevant data repository.

Cite and link to this dataset in your article.

If this is not possible, make a statement explaining why research data cannot be shared.

",[redacted],[redacted],[redacted],NA,None,During Peer Review,Mandated,Full (3/3),Mandated,NA,None,During Peer Review,Mandated,Full (3/3),Mandated
journal of avian biology,Oikos,Yes,"All NSO journals mandate authors to make all data, code and related metadata necessary to fully replicate the study publicly available in a permanent, freely accessible repository. Repositories may be either subject-specific (where these exist) and accept specific types of structured data, or generalist repositories that accept multiple data types, such as e.g. Dryad. At submission, the author(s) will be asked to provide the data and code for reviewers and editors. At this stage data and code does not need to be public. - based on this mandated",[redacted],[redacted],[redacted],After Acceptance (Post-Publication),Full (3/3),During Peer Review,Mandated,Full (3/3),Mandated,NA,None,During Peer Review,NA,None,Mandated
journal of biogeography,Wiley,No,We require authors to make their underlying data and code available to peer reviewers. ,[redacted],[redacted],[redacted],During Peer Review,Full (3/3),During Peer Review,Encouraged,Partial (2/3),Mandated,Unclear,Partial (2/3),During Peer Review,Not Mentioned,Partial (2/3),Mandated
journal of biological dynamics,Taylor & Francis,Yes,NA,[redacted],[redacted],[redacted],During Peer Review,Full (3/3),During Peer Review,Encouraged,Full (3/3),Optional for Authors,Unclear,Full (3/3),During Peer Review,Not Mentioned,Full (3/3),On Reviewer Request
journal of chemical ecology,Springer Nature ,Yes,NA,[redacted],[redacted],[redacted],NA,None,During Peer Review,Encouraged,Full (3/3),On Reviewer Request,NA,None,During Peer Review,Not Mentioned,Partial (2/3),On Reviewer Request
"journal of comparative physiology b: biochemical, systemic and environmental physiology",Springer Nature ,Yes,NA,[redacted],[redacted],[redacted],During Peer Review,Partial (2/3),During Peer Review,Encouraged,Partial (2/3),On Reviewer Request,Not Expected At All,Partial (2/3),During Peer Review,Not Mentioned,Partial (2/3),On Reviewer Request
journal of ecology,BES,Yes,NA,[redacted],[redacted],[redacted],During Peer Review,Partial (2/3),After Acceptance (Post-Publication),Mandated,Full (3/3),Mandated,After Acceptance (Post-Publication),Partial (2/3),After Acceptance (Post-Publication),Mandated,Full (3/3),Encouraged
journal of evolutionary biochemistry and physiology,Springer Nature ,No,NA,[redacted],[redacted],[redacted],During Peer Review,Partial (2/3),After Acceptance (Post-Publication),Encouraged,Partial (2/3),Encouraged,Not Expected At All,Partial (2/3),After Acceptance (Post-Publication),Not Mentioned,Partial (2/3),Optional for Authors
journal of evolutionary biology,OUP,Yes,NA,[redacted],[redacted],[redacted],During Peer Review,Partial (2/3),During Peer Review,Mandated,Full (3/3),Mandated,During Peer Review,Partial (2/3),During Peer Review,Encouraged,Partial (2/3),Encouraged
journal of experimental biology,Company of Biologists,No,NA,[redacted],[redacted],[redacted],During Peer Review,Full (3/3),During Peer Review,Encouraged,Full (3/3),Encouraged,After Acceptance (Post-Publication),Full (3/3),After Acceptance (Post-Publication),Encouraged,Partial (2/3),Encouraged
journal of experimental marine biology and ecology,ScienceDirect by Elsevier,Yes,"Option C: Research data deposit, citation and linking

You are required to:

Deposit your research data in a relevant data repository.

Cite and link to this dataset in your article.

If this is not possible, make a statement explaining why research data cannot be shared.

Data statement
To foster transparency, you are encouraged to state the availability of any data at submission.

Ensuring data is available may be a requirement of your funding body or institution. If your data is unavailable to access or unsuitable to post, you can state the reason why (e.g., your research data includes sensitive or confidential information such as patient data) during the submission process. This statement will appear with your published article on ScienceDirect.",[redacted],[redacted],[redacted],During Peer Review,Partial (2/3),During Peer Review,Mandated,Partial (2/3),Mandated,During Peer Review,Partial (2/3),During Peer Review,Encouraged,Partial (2/3),Mandated
journal of experimental zoology part b-molecular and developmental evolution,Wiley,Yes,"The journal expects that data supporting the results in the paper will be archived in an appropriate public repository. Authors are required to provide a data availability statement to describe the availability or the absence of shared data. When data have been shared, authors are required to include in their data availability statement a link to the repository they have used, and to cite the data they have shared. Whenever possible the scripts and other artefacts used to generate the analyses presented in the paper should also be publicly archived. If sharing data compromises ethical standards or legal requirements then authors are not expected to share it.",[redacted],[redacted],[redacted],NA,None,After Acceptance (Post-Publication),Mandated,Full (3/3),Mandated,NA,None,After Acceptance (Post-Publication),Not Mentioned,Partial (2/3),Encouraged
journal of fish and wildlife management,Allen Press,No,NA,[redacted],[redacted],[redacted],During Peer Review,Full (3/3),During Peer Review,Mandated,Full (3/3),Mandated,Not Expected At All,Full (3/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
journal of freshwater ecology,Taylor & Francis,Yes,NA,[redacted],[redacted],[redacted],During Peer Review,Full (3/3),During Peer Review,Mandated,Full (3/3),Mandated,Unclear,Partial (2/3),During Peer Review,Mandated,Partial (2/3),On Reviewer Request
journal of heredity,OUP,Yes,NA,[redacted],[redacted],[redacted],After Acceptance (Post-Publication),Full (3/3),After Acceptance (Post-Publication),Mandated,Full (3/3),Mandated,During Peer Review,Full (3/3),After Acceptance (Post-Publication),Encouraged,Full (3/3),Encouraged
journal of human evolution,ScienceDirect by Elsevier,Yes,"Linking to the data underlying your work increases your exposure and may lead to new collaborations. It also provides readers with a better understanding of the described research.

If your research data has been made available in a data repository there are a number of ways your article can be linked directly to the dataset:

Provide a link to your dataset when prompted during the online submission process.

For some data repositories, a repository banner will automatically appear next to your published article on ScienceDirect.

You can also link relevant data or entities within the text of your article through the use of identifiers. Use the following format: Database: 12345 (e.g. TAIR: AT1G01020; CCDC: 734053; PDB: 1XFN). - during submissino process = optional",[redacted],[redacted],[redacted],Unclear,Partial (2/3),During Peer Review,Mandated,Full (3/3),Optional for Authors,Unclear,Partial (2/3),During Peer Review,Mandated,Partial (2/3),Optional for Authors
journal of molecular evolution,Springer Nature ,Yes,NA,[redacted],[redacted],[redacted],Unclear,Partial (2/3),During Peer Review,Encouraged,Full (3/3),On Reviewer Request,Not Expected At All,Full (3/3),During Peer Review,Not Mentioned,Partial (2/3),On Reviewer Request
journal of natural history,Taylor & Francis,Yes,NA,[redacted],[redacted],[redacted],During Peer Review,Full (3/3),During Peer Review,Encouraged,Full (3/3),Optional for Authors,NA,None,During Peer Review,Not Mentioned,Partial (2/3),On Reviewer Request
journal of plant biology,Springer Nature ,No,NA,[redacted],[redacted],[redacted],Not Expected At All,Partial (2/3),Not Expected At All,Optional for Authors,Partial (2/3),Optional for Authors,Not Expected At All,Full (3/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
journal of plant ecology,OUP,Yes,NA,[redacted],[redacted],[redacted],Unclear,Partial (2/3),After Acceptance (Post-Publication),Encouraged,Full (3/3),Encouraged,Unclear,Partial (2/3),After Acceptance (Post-Publication),Encouraged,Full (3/3),Encouraged
journal of soil and water conservation,Soil and Water Conservation Society,No,NA,[redacted],[redacted],[redacted],Unclear,Partial (2/3),During Peer Review,Not Mentioned,Partial (2/3),Encouraged,Not Expected At All,Full (3/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
journal of systematic palaeontology,Taylor & Francis,Yes,NA,[redacted],[redacted],[redacted],During Peer Review,Full (3/3),During Peer Review,Encouraged,Partial (2/3),Optional for Authors,Not Expected At All,Full (3/3),During Peer Review,Not Mentioned,Full (3/3),On Reviewer Request
journal of thermal biology,ScienceDirect by Elsevier,Yes,"Option B: Research data deposit, citation and linking

You are encouraged to:

Deposit your research data in a relevant data repository.

Cite and link to this dataset in your article.

If this is not possible, make a statement explaining why research data cannot be shared.

Data statement
To foster transparency, you are required to state the availability of any data at submission.

Ensuring data is available may be a requirement of your funding body or institution. If your data is unavailable to access or unsuitable to post, you can state the reason why (e.g., your research data includes sensitive or confidential information such as patient data) during the submission process. This statement will appear with your published article on ScienceDirect.",[redacted],[redacted],[redacted],Unclear,Partial (2/3),During Peer Review,NA,None,Encouraged,NA,None,During Peer Review,NA,None,Encouraged
journal of tropical ecology,Cambridge University Press,No,NA,[redacted],[redacted],[redacted],Unclear,Partial (2/3),After Acceptance (Post-Publication),Encouraged,Full (3/3),Encouraged,Unclear,Partial (2/3),After Acceptance (Post-Publication),Encouraged,Full (3/3),Encouraged
journal of vegetation science,Wiley,No,NA,[redacted],[redacted],[redacted],Unclear,Partial (2/3),After Acceptance (Post-Publication),Mandated,Full (3/3),Mandated,Unclear,Partial (2/3),After Acceptance (Post-Publication),Encouraged,Full (3/3),Encouraged
journal of wildlife and biodiversity,Arak University,No,NA,[redacted],[redacted],[redacted],Not Expected At All,Partial (2/3),During Peer Review,NA,None,On Reviewer Request,Not Expected At All,Full (3/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
journal of wildlife management,Wiley (The Wildlife Society),Yes,NA,[redacted],[redacted],[redacted],Unclear,Partial (2/3),After Acceptance (Post-Publication),Encouraged,Full (3/3),Mandated,Not Expected At All,Partial (2/3),After Acceptance (Post-Publication),Not Mentioned,Full (3/3),Mandated
journal of zoological systematics and evolutionary research,Wiley,No,"Research published in the journal must be:

Scientifically valid - adhering to accepted community standards of research.
Technically accurate in its methods and results.
Representative of a specific advance, or replication, or null/negative result, which is worthy of publication.
As reproducible as possible - sharing underlying data, code, and supporting materials wherever able.
Ethically sound and transparent - adhering to best practice with respect to animal and human studies, consent to publish, and clear declaration of potential conflicts of interests, both real and perceived.",[redacted],[redacted],[redacted],Unclear,Partial (2/3),After Acceptance (Post-Publication),NA,None,Optional for Authors,Not Expected At All,Partial (2/3),After Acceptance (Post-Publication),Not Mentioned,Partial (2/3),Optional for Authors
landscape and ecological engineering,Springer Nature ,Yes,NA,[redacted],[redacted],[redacted],Unclear,Full (3/3),During Peer Review,Encouraged,Full (3/3),On Reviewer Request,Not Expected At All,Full (3/3),During Peer Review,Not Mentioned,Partial (2/3),On Reviewer Request
landscape and urban planning,ScienceDirect by Elsevier,Yes,"Option C: Research data deposit, citation and linking

You are required to:

Deposit your research data in a relevant data repository.

Cite and link to this dataset in your article.

If this is not possible, make a statement explaining why research data cannot be shared.

Data statement
To foster transparency, you are required to state the availability of any data at submission.

Ensuring data is available may be a requirement of your funding body or institution. If your data is unavailable to access or unsuitable to post, you can state the reason why (e.g., your research data includes sensitive or confidential information such as patient data) during the submission process. This statement will appear with your published article on ScienceDirect.",[redacted],[redacted],[redacted],Unclear,Full (3/3),During Peer Review,Mandated,Partial (2/3),Mandated,Unclear,Partial (2/3),During Peer Review,Mandated,Partial (2/3),Mandated
landscape ecology,Springer Nature ,Yes,NA,[redacted],[redacted],[redacted],Not Expected At All,Partial (2/3),During Peer Review,Encouraged,Partial (2/3),On Reviewer Request,Not Expected At All,Full (3/3),During Peer Review,Not Mentioned,Partial (2/3),On Reviewer Request
limnology and oceanography,Wiley,No,NA,[redacted],[redacted],[redacted],Unclear,Partial (2/3),After Acceptance (Post-Publication),Encouraged,Partial (2/3),Mandated,Unclear,Partial (2/3),After Acceptance (Post-Publication),Encouraged,Partial (2/3),Encouraged
mammal review,Wiley,Yes,NA,[redacted],[redacted],[redacted],Unclear,Partial (2/3),After Acceptance (Post-Publication),Encouraged,Partial (2/3),Mandated,Not Expected At All,Full (3/3),After Acceptance (Post-Publication),Not Mentioned,Full (3/3),Encouraged
marine biology,Springer Nature ,Yes,NA,[redacted],[redacted],[redacted],Unclear,Partial (2/3),During Peer Review,Encouraged,Full (3/3),On Reviewer Request,Not Expected At All,Full (3/3),During Peer Review,Not Mentioned,Partial (2/3),On Reviewer Request
marine biology research,Taylor & Francis,Yes,NA,[redacted],[redacted],[redacted],During Peer Review,Full (3/3),During Peer Review,Encouraged,Full (3/3),Optional for Authors,Not Expected At All,Full (3/3),During Peer Review,Not Mentioned,Full (3/3),On Reviewer Request
marine ecology progress series,Inter-Research Science Centre,Yes,NA,[redacted],[redacted],[redacted],Not Expected At All,Full (3/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned,Not Expected At All,Full (3/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
methods in ecology and evolution,BES,Yes,NA,[redacted],[redacted],[redacted],During Peer Review,Full (3/3),During Peer Review,Mandated,Full (3/3),Encouraged,During Peer Review,Full (3/3),During Peer Review,Mandated,Full (3/3),Encouraged
microbial ecology,Springer Nature ,Yes,NA,[redacted],[redacted],[redacted],Unclear,Full (3/3),During Peer Review,Encouraged,Full (3/3),On Reviewer Request,Unclear,Partial (2/3),During Peer Review,Encouraged,Partial (2/3),On Reviewer Request
molecular biology and evolution,OUP,Yes,"The Journal requires all authors, where ethically possible, to publicly release all data and software code underlying any published paper as a condition of publication.",[redacted],[redacted],[redacted],After Acceptance (Post-Publication),Partial (2/3),After Acceptance (Post-Publication),Mandated,Full (3/3),Mandated,NA,None,After Acceptance (Post-Publication),Mandated,Partial (2/3),Mandated
molecular ecology,Wiley,No,NA,[redacted],[redacted],[redacted],Unclear,Partial (2/3),After Acceptance (Post-Publication),Mandated,Full (3/3),Mandated,Unclear,Partial (2/3),After Acceptance (Post-Publication),Encouraged,Partial (2/3),Encouraged
molecular ecology resources,Wiley,No,NA,[redacted],[redacted],[redacted],During Peer Review,Partial (2/3),After Acceptance (Post-Publication),Mandated,Full (3/3),Mandated,Unclear,Partial (2/3),After Acceptance (Post-Publication),Encouraged,Partial (2/3),Encouraged
molecular phylogenetics and evolution,ScienceDirect by Elsevier,Yes,"Option B: Research data deposit, citation and linking

You are encouraged to:

Deposit your research data in a relevant data repository.

Cite and link to this dataset in your article.

If this is not possible, make a statement explaining why research data cannot be shared.

Data statement
To foster transparency, you are required to state the availability of any data at submission.

Ensuring data is available may be a requirement of your funding body or institution. If your data is unavailable to access or unsuitable to post, you can state the reason why (e.g., your research data includes sensitive or confidential information such as patient data) during the submission process. This statement will appear with your published article on ScienceDirect.",[redacted],[redacted],[redacted],During Peer Review,Partial (2/3),During Peer Review,Encouraged,Full (3/3),Encouraged,During Peer Review,Partial (2/3),During Peer Review,Encouraged,Full (3/3),Encouraged
movement ecology,BioMed Central - Springer Nature,Yes,Biomed policy is mandated for some data therefore encoruaged. code is encoruaged due to bmc policy,[redacted],[redacted],[redacted],Unclear,Partial (2/3),During Peer Review,Encouraged,Full (3/3),Encouraged,Unclear,Partial (2/3),During Peer Review,NA,None,Encouraged
natural areas journal,Natural Areas Association,No,NA,[redacted],[redacted],[redacted],Not Expected At All,Partial (2/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned,Not Expected At All,Partial (2/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
nature,Nature Portfolio (Springer Nature),Yes,NA,[redacted],[redacted],[redacted],During Peer Review,Partial (2/3),During Peer Review,Mandated,Full (3/3),On Reviewer Request,During Peer Review,Partial (2/3),During Peer Review,Mandated,Full (3/3),Mandated
nature climate change,Nature Portfolio (Springer Nature),Yes,NA,[redacted],[redacted],[redacted],During Peer Review,Partial (2/3),During Peer Review,Mandated,Partial (2/3),On Reviewer Request,During Peer Review,Partial (2/3),During Peer Review,Mandated,Partial (2/3),Mandated
nature communications,Nature Portfolio (Springer Nature),Yes,NA,[redacted],[redacted],[redacted],During Peer Review,Partial (2/3),During Peer Review,Mandated,Partial (2/3),On Reviewer Request,During Peer Review,Partial (2/3),During Peer Review,Mandated,Partial (2/3),Mandated
nature ecology & evolution,Nature Portfolio (Springer Nature),Yes,NA,[redacted],[redacted],[redacted],During Peer Review,Partial (2/3),During Peer Review,Mandated,Partial (2/3),On Reviewer Request,During Peer Review,Partial (2/3),During Peer Review,Mandated,Partial (2/3),Mandated
neobiota,Pensoft ,,,[redacted],[redacted],[redacted],Unclear,Full (3/3),After Acceptance (Post-Publication),Encouraged,Full (3/3),Encouraged,Unclear,Partial (2/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
neotropical biodiversity,Taylor & Francis,Yes,NA,[redacted],[redacted],[redacted],Unclear,Partial (2/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned,Not Expected At All,Partial (2/3),Not Expected At All,Not Mentioned,Partial (2/3),Not Mentioned
new phytologist,Wiley,No,New Phytologist requires / mandates authors to ensure that data and materials integral to the paper are available to readers in a form that allows for verification and replication of the results in the paper. Provision of further details such as computer code (to facilitate reproducibility) and sample outputs (e.g. to demonstrate degrees of freedom in analyses of variance) as Supporting Information is encouraged and should be considered essential for non-standard analyses. enocuraged due to enocurage/essential,[redacted],[redacted],[redacted],After Acceptance (Post-Publication),Partial (2/3),After Acceptance (Post-Publication),Mandated,Full (3/3),Mandated,Unclear,Partial (2/3),After Acceptance (Post-Publication),Encouraged,Partial (2/3),Encouraged
new zealand journal of ecology,New Zealand Ecology Society,No,NA,[redacted],[redacted],[redacted],Not Expected At All,Full (3/3),After Acceptance (Post-Publication),Optional for Authors,Partial (2/3),Optional for Authors,Not Expected At All,Full (3/3),After Acceptance (Post-Publication),Optional for Authors,Partial (2/3),Optional for Authors
northeastern naturalist,Eagle Hill Institute,No,NA,[redacted],[redacted],[redacted],Not Expected At All,Full (3/3),After Acceptance (Post-Publication),Not Mentioned,Partial (2/3),Optional for Authors,Not Expected At All,Full (3/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
northwest science,Northwest Scientific Association ,No,NA,[redacted],[redacted],[redacted],NA,None,Not Expected At All,Not Mentioned,Partial (2/3),Optional for Authors,Not Expected At All,Full (3/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
oecologia,Springer Nature ,Yes,NA,[redacted],[redacted],[redacted],NA,None,During Peer Review,Encouraged,Partial (2/3),On Reviewer Request,NA,None,During Peer Review,On Reviewer Request,Partial (2/3),On Reviewer Request
oikos,Oikos,Yes,"Oikos requires that authors provide all data and metadata, custom written code (simulations and non-standard statistical analyses), and bespoke software necessary for fully replicating the analyses in the study at the first submission stage. This will allow reviewers and editors to fully evaluate your work and confirm that the provided code and data is complete and supports your conclusions (data and code do not need to be public at this stage).",[redacted],[redacted],[redacted],After Acceptance (Post-Publication),Full (3/3),During Peer Review,Mandated,Full (3/3),Mandated,Not Expected At All,Partial (2/3),During Peer Review,Not Mentioned,Partial (2/3),Mandated
organisms diversity & evolution,Springer Nature ,Yes,NA,[redacted],[redacted],[redacted],During Peer Review,Partial (2/3),During Peer Review,On Reviewer Request,Partial (2/3),On Reviewer Request,During Peer Review,Full (3/3),During Peer Review,On Reviewer Request,Full (3/3),On Reviewer Request
oryx,Fauna Flora,No,NA,[redacted],[redacted],[redacted],NA,None,During Peer Review,Encouraged,Partial (2/3),Optional for Authors,NA,None,After Acceptance (Post-Publication),Encouraged,Partial (2/3),Encouraged
paleobiology,Cambridge Core,No,NA,[redacted],[redacted],[redacted],Not Expected At All,Partial (2/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned,Not Expected At All,Partial (2/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
pedobiologia,ScienceDirect by Elsevier,Yes,"Option C: Research data deposit, citation and linking

You are required to:

Deposit your research data in a relevant data repository.

Cite and link to this dataset in your article.

If this is not possible, make a statement explaining why research data cannot be shared.

Data statement
To foster transparency, you are required to state the availability of any data at submission.",[redacted],[redacted],[redacted],Unclear,Full (3/3),During Peer Review,Mandated,Partial (2/3),Mandated,Unclear,Full (3/3),During Peer Review,Optional for Authors,Partial (2/3),Mandated
people and nature,BES,Yes,NA,[redacted],[redacted],[redacted],After Acceptance (Post-Publication),Partial (2/3),After Acceptance (Post-Publication),Mandated,Full (3/3),Mandated,NA,None,After Acceptance (Post-Publication),Mandated,Partial (2/3),Encouraged
perspectives in plant ecology evolution and systematics,ScienceDirect by Elsevier,Yes,"Option C: Research data deposit, citation and linking

You are required to:

Deposit your research data in a relevant data repository.

Cite and link to this dataset in your article.

If this is not possible, make a statement explaining why research data cannot be shared.

Data statement
To foster transparency, you are required to state the availability of any data at submission.",[redacted],[redacted],[redacted],Unclear,Full (3/3),During Peer Review,Mandated,Partial (2/3),Mandated,Unclear,Partial (2/3),During Peer Review,NA,None,Mandated
philosophical transactions of the royal society b: biological sciences,Royal Society ,No,NA,[redacted],[redacted],[redacted],During Peer Review,Full (3/3),During Peer Review,Mandated,Full (3/3),Mandated,During Peer Review,Full (3/3),During Peer Review,Mandated,Full (3/3),Mandated
phytocoenologia,Schweizerbart,No,NA,[redacted],[redacted],[redacted],NA,None,After Acceptance (Post-Publication),Encouraged,Partial (2/3),Encouraged,Not Expected At All,Partial (2/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
plankton and benthos research,Plankton Society of Japan,No,NA,[redacted],[redacted],[redacted],Not Expected At All,Partial (2/3),After Acceptance (Post-Publication),Not Mentioned,Partial (2/3),Encouraged,Not Expected At All,Partial (2/3),Not Expected At All,Not Mentioned,Partial (2/3),Not Mentioned
plant biology,Wiley,No,NA,[redacted],[redacted],[redacted],After Acceptance (Post-Publication),Partial (2/3),After Acceptance (Post-Publication),Encouraged,Full (3/3),Encouraged,NA,None,After Acceptance (Post-Publication),Encouraged,Partial (2/3),Encouraged
plant ecology,Springer Nature ,Yes,NA,[redacted],[redacted],[redacted],NA,None,During Peer Review,Encouraged,Partial (2/3),On Reviewer Request,NA,None,During Peer Review,NA,None,On Reviewer Request
plant ecology and diversity,Taylor & Francis,Yes,NA,[redacted],[redacted],[redacted],During Peer Review,Full (3/3),During Peer Review,NA,None,Optional for Authors,Not Expected At All,Partial (2/3),During Peer Review,Not Mentioned,Partial (2/3),On Reviewer Request
plant physiology,OUP,Yes,"Editorial policy OUP encourages authors, where ethically feasible, to make the research data underlying their articles publicly available. for code. ",[redacted],[redacted],[redacted],NA,None,During Peer Review,Mandated,Partial (2/3),Mandated,Not Expected At All,Partial (2/3),After Acceptance (Post-Publication),Not Mentioned,Partial (2/3),Encouraged
plant species biology,Wiley,No,NA,[redacted],[redacted],[redacted],Unclear,Partial (2/3),After Acceptance (Post-Publication),Encouraged,Partial (2/3),Encouraged,Unclear,Partial (2/3),After Acceptance (Post-Publication),Encouraged,Partial (2/3),Encouraged
plant systematics and evolution,Springer Nature ,Yes,NA,[redacted],[redacted],[redacted],NA,None,During Peer Review,Encouraged,Full (3/3),On Reviewer Request,NA,None,During Peer Review,On Reviewer Request,Partial (2/3),On Reviewer Request
plants people planet,Wiley,No,NA,[redacted],[redacted],[redacted],After Acceptance (Post-Publication),Partial (2/3),During Peer Review,NA,None,Optional for Authors,NA,None,After Acceptance (Post-Publication),NA,None,Mandated
plos biology,Plos,Yes,NA,[redacted],[redacted],[redacted],After Acceptance (Post-Publication),Partial (2/3),After Acceptance (Post-Publication),Mandated,Full (3/3),Mandated,After Acceptance (Post-Publication),Partial (2/3),After Acceptance (Post-Publication),Encouraged,Partial (2/3),Mandated
polar biology,Springer Nature ,Yes,NA,[redacted],[redacted],[redacted],Unclear,Partial (2/3),During Peer Review,Encouraged,Full (3/3),On Reviewer Request,NA,None,During Peer Review,On Reviewer Request,Partial (2/3),On Reviewer Request
polar record,Cambridge Core,No,NA,[redacted],[redacted],[redacted],Not Expected At All,Partial (2/3),After Acceptance (Post-Publication),Encouraged,Partial (2/3),Encouraged,Not Expected At All,Full (3/3),After Acceptance (Post-Publication),Not Mentioned,Partial (2/3),Encouraged
polar research,Norwiegan Polar Institute,No,NA,[redacted],[redacted],[redacted],Not Expected At All,Partial (2/3),During Peer Review,Not Mentioned,Partial (2/3),Optional for Authors,Not Expected At All,Partial (2/3),Not Expected At All,Not Mentioned,Partial (2/3),Not Mentioned
polar science,ScienceDirect by Elsevier,Yes,NA,[redacted],[redacted],[redacted],During Peer Review,Partial (2/3),During Peer Review,Mandated,Partial (2/3),Mandated,During Peer Review,Partial (2/3),During Peer Review,NA,None,Mandated
polish journal of ecology,Polish Academy of Sciences,No,NA,[redacted],[redacted],[redacted],Not Expected At All,Partial (2/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned,Not Expected At All,Partial (2/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
polish polar research,Polish Academy of Sciences,No,NA,[redacted],[redacted],[redacted],Not Expected At All,Partial (2/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned,Not Expected At All,Partial (2/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
population ecology,Wiley,No,NA,[redacted],[redacted],[redacted],Not Expected At All,Partial (2/3),After Acceptance (Post-Publication),Encouraged,Full (3/3),Encouraged,Not Expected At All,Partial (2/3),After Acceptance (Post-Publication),Encouraged,Partial (2/3),Encouraged
proceedings of the academy of natural sciences of philadelphia,The Academy of Natural Sciences of Philadelphia,No,NA,[redacted],[redacted],[redacted],Not Expected At All,Partial (2/3),Not Expected At All,Not Mentioned,Partial (2/3),Not Mentioned,Not Expected At All,Full (3/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
proceedings of the linnean society of new south wales,proceedings of the linnean society of new south wales,No,NA,[redacted],[redacted],[redacted],Unclear,Partial (2/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned,Unclear,Partial (2/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
proceedings of the national academy of sciences: usa,PNAS,No,NA,[redacted],[redacted],[redacted],During Peer Review,Full (3/3),During Peer Review,Mandated,Partial (2/3),On Reviewer Request,During Peer Review,Full (3/3),During Peer Review,Mandated,Partial (2/3),On Reviewer Request
proceedings of the royal society b-biological sciences,Royal Society ,No,NA,[redacted],[redacted],[redacted],During Peer Review,Full (3/3),During Peer Review,Mandated,Full (3/3),Mandated,During Peer Review,Full (3/3),During Peer Review,Mandated,Full (3/3),Mandated
rangeland ecology & management,ScienceDirect by Elsevier,Yes,NA,[redacted],[redacted],[redacted],After Acceptance (Post-Publication),Partial (2/3),During Peer Review,Encouraged,Full (3/3),Encouraged,After Acceptance (Post-Publication),Partial (2/3),During Peer Review,Encouraged,Full (3/3),Encouraged
rangeland journal,CSIRO,Yes,NA,[redacted],[redacted],[redacted],During Peer Review,Partial (2/3),After Acceptance (Post-Publication),Encouraged,Full (3/3),Encouraged,During Peer Review,Partial (2/3),After Acceptance (Post-Publication),Encouraged,Partial (2/3),Encouraged
regional studies in marine science,ScienceDirect by Elsevier,Yes,"NAOption C: Research data deposit, citation and linking

You are required to:

Deposit your research data in a relevant data repository.

Cite and link to this dataset in your article.

If this is not possible, make a statement explaining why research data cannot be shared.

Data statement
To foster transparency, you are required to state the availability of any data at submission.",[redacted],[redacted],[redacted],NA,None,During Peer Review,Mandated,Full (3/3),Mandated,NA,None,During Peer Review,Mandated,Partial (2/3),Mandated
remote sensing,MDPI,Yes,NA,[redacted],[redacted],[redacted],After Acceptance (Post-Publication),Partial (2/3),During Peer Review,Encouraged,Full (3/3),On Reviewer Request,After Acceptance (Post-Publication),Partial (2/3),After Acceptance (Post-Publication),Encouraged,Partial (2/3),Mandated
remote sensing in ecology and conservation,ZSL,No,NA,[redacted],[redacted],[redacted],During Peer Review,Partial (2/3),After Acceptance (Post-Publication),Mandated,Partial (2/3),Mandated,Unclear,Partial (2/3),After Acceptance (Post-Publication),Encouraged,Partial (2/3),Encouraged
restoration ecology,Wiley,Yes,NA,[redacted],[redacted],[redacted],NA,None,After Acceptance (Post-Publication),Encouraged,Partial (2/3),Mandated,NA,None,After Acceptance (Post-Publication),Not Mentioned,Partial (2/3),Encouraged
reviews in fish biology and fisheries,Springer Nature ,Yes,NA,[redacted],[redacted],[redacted],During Peer Review,Partial (2/3),During Peer Review,Encouraged,Full (3/3),On Reviewer Request,Not Expected At All,Partial (2/3),During Peer Review,Not Mentioned,Partial (2/3),On Reviewer Request
